City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
nikolskoye,59.7,42.8,81,90,17.9
saskylakh,71.97,-8.23,64,56,5.37
maragogi,-9.01,78.76,87,92,10.51
bakel,14.9,87.99,27,32,12.08
san patricio,-26.98,79.21,90,100,5.37
tuatapere,-46.13,45.19,100,92,19.24
mataura,-46.19,45.42,100,88,17.0
hobart,-42.88,51.8,71,75,4.7
college,64.86,-0.3,84,1,5.26
tura,25.52,55.68,83,0,1.34
anandpur sahib,31.23,50.41,50,76,4.59
komsomolskiy,67.55,20.67,89,92,13.65
tiksi,71.64,-10.66,72,0,6.38
ponta do sol,-20.63,78.94,54,44,10.18
kieta,-6.22,78.94,100,68,4.14
salalah,17.01,78.8,74,0,3.36
busselton,-33.64,61.89,100,64,13.42
bodden town,19.28,84.2,83,20,11.41
luganville,-15.51,77.73,100,0,10.96
belmonte,40.36,55.0,87,92,10.85
cape town,-33.93,62.6,59,20,24.16
culfa,38.95,42.8,76,40,2.24
ostrovnoy,68.05,34.17,97,92,32.66
hamilton,32.3,68.0,88,90,9.17
ilulissat,69.22,21.2,85,40,19.46
albany,42.65,40.98,60,90,9.17
tilichiki,60.47,-24.7,100,24,2.8
deputatskiy,69.3,-22.99,32,0,2.8
bubaque,11.28,84.2,54,0,3.36
new norfolk,-42.78,51.8,71,75,4.7
lavrentiya,65.58,32.73,100,76,19.46
morant bay,17.88,87.8,58,75,8.05
rudnya,50.8,7.84,53,0,2.91
punta arenas,-53.16,55.4,35,0,20.8
ushuaia,-54.81,50.0,39,40,5.82
lebu,8.96,44.74,91,8,3.47
hami,42.84,16.66,76,0,7.61
khani,41.96,46.4,93,75,4.7
kavaratti,10.57,79.12,100,88,13.98
kalabo,-15.0,79.66,34,80,4.14
berlevag,70.86,37.4,64,75,16.11
nanortalik,60.14,32.41,94,0,34.11
venice,27.1,76.59,44,1,8.05
taksimo,56.36,-9.49,60,44,2.57
taos,36.41,45.01,28,1,2.91
zhigansk,66.77,-21.1,62,20,2.35
bluff,-23.58,72.87,77,64,8.95
katsuura,33.93,49.06,100,0,6.04
rikitea,-23.12,76.29,99,0,12.19
yellandu,17.59,72.82,95,80,3.24
bambous virieux,-20.34,73.4,88,40,2.24
vaini,15.34,68.77,93,20,1.68
longyearbyen,78.22,32.0,99,75,24.16
tasiilaq,65.61,39.2,86,90,40.26
vila,45.18,41.92,75,0,2.24
ribeira grande,38.52,59.0,54,40,6.93
avarua,-21.21,78.8,83,40,10.29
northam,51.04,45.68,81,0,8.05
kaitangata,-46.28,52.17,81,20,17.34
kishapu,-3.61,65.35,94,36,3.91
ahar,38.48,22.24,72,8,1.79
norman wells,65.28,6.8,84,75,13.87
coxim,-18.5,80.56,89,76,8.28
half moon bay,37.46,56.61,76,1,5.82
hithadhoo,-0.6,81.6,100,0,12.3
port alfred,-33.59,64.23,89,64,6.93
lahat,-3.78,71.2,98,32,4.36
kodiak,39.95,37.04,81,90,21.92
souillac,45.6,45.41,81,90,10.29
pangnirtung,66.15,-0.41,64,20,6.93
tsumeb,-19.25,71.97,20,0,8.16
kapaa,22.08,76.41,66,90,18.34
carnarvon,-30.97,63.15,23,12,6.71
tuktoyaktuk,69.44,-2.21,77,75,18.34
along,28.17,52.12,100,100,1.68
lasa,34.92,63.77,63,20,11.41
san rafael,-34.61,74.8,18,0,12.41
nuuk,64.17,24.8,79,75,18.34
moerai,-22.43,76.83,98,88,19.91
lososina,49.0,24.22,100,0,10.4
namatanai,-3.66,77.73,100,88,9.51
khor,47.88,8.56,80,44,8.95
cam ranh,11.92,74.8,100,92,10.63
pevek,69.7,6.72,95,68,4.47
puerto narino,-3.77,89.6,70,75,3.36
ust-kut,56.78,-3.23,72,44,2.57
lorengau,-2.02,82.81,100,44,6.15
angoram,-4.06,76.02,100,56,2.24
codrington,-28.95,62.34,100,88,6.38
torrington,42.06,20.19,84,90,8.05
cherskiy,68.75,-17.59,77,44,3.69
saint george,39.45,50.0,87,90,3.36
sao filipe,14.9,75.57,99,44,8.95
upernavik,72.79,24.27,100,88,13.2
murray bridge,-35.12,56.8,86,0,11.97
luderitz,-26.65,60.94,68,8,22.48
chokurdakh,70.62,-9.13,68,56,3.36
vila franca do campo,37.72,57.2,67,20,10.29
westport,53.8,50.0,93,75,13.87
ust-karsk,52.71,1.95,55,48,5.7
barrow,-38.31,56.26,96,36,22.26
lagoa,37.14,64.4,82,20,20.8
esperance,10.24,87.8,66,20,11.41
khandbari,27.38,27.64,69,0,1.57
kiomboi,-4.28,72.87,61,36,7.49
araouane,18.9,74.49,32,56,7.72
khatanga,71.98,4.06,80,88,8.84
puerto ayora,-0.74,78.8,61,20,24.16
natal,-5.81,86.0,55,0,18.34
arraial do cabo,-22.97,80.6,69,20,9.17
songjianghe,42.18,6.94,51,0,5.37
samut prakan,13.6,78.8,88,20,2.24
borisoglebskiy,57.26,33.45,97,92,13.76
yendi,9.45,82.5,57,36,8.05
port moresby,-9.47,75.2,88,40,2.24
jamestown,-33.21,54.46,44,0,6.93
mahebourg,-20.41,73.4,88,40,2.24
georgetown,6.8,87.8,66,75,16.11
madhupur,24.26,54.37,80,0,4.36
qaanaaq,77.48,-3.14,100,20,10.85
kenai,60.55,34.05,88,90,10.29
mar del plata,-46.43,68.1,31,88,4.59
bathsheba,13.22,86.0,66,20,20.8
port elizabeth,39.31,48.85,51,1,10.29
airai,-8.93,68.5,89,32,1.57
constitucion,23.99,66.2,15,90,4.59
kilindoni,-7.91,80.79,100,80,9.17
unai,-16.36,77.32,74,32,7.94
cao bang,22.67,63.1,100,92,3.02
senneterre,48.39,17.6,78,90,8.05
whitianga,-36.83,62.97,100,44,6.15
ahipara,-35.17,62.7,83,68,1.45
havre-saint-pierre,50.23,24.8,79,90,5.82
killin,33.61,66.02,43,1,6.93
carbonear,47.73,33.8,100,90,34.45
les cayes,18.19,82.09,100,20,10.63
leningradskiy,69.38,10.5,100,64,20.13
new port richey,28.24,73.06,46,40,6.93
kita,35.76,51.82,72,90,5.82
akdepe,42.05,23.25,48,0,4.7
dashitou,43.3,10.45,69,12,4.14
kruisfontein,-34.0,59.37,91,0,7.72
atuona,-9.8,80.74,100,8,16.55
colares,38.8,62.6,82,20,12.75
le port,42.87,35.47,95,48,1.68
ajdabiya,30.75,66.57,27,56,10.85
poso,-1.4,77.64,100,36,2.01
kosh-agach,49.99,-17.68,59,0,3.24
hualmay,-11.1,71.79,65,12,7.38
yotsukaido,35.67,49.89,87,20,8.05
kachug,53.96,-10.12,65,44,2.57
tabou,4.42,80.34,100,56,8.39
murgab,37.5,46.4,87,90,4.7
ancud,-41.87,54.1,81,92,8.05
qingyuan,27.62,55.95,97,100,2.13
suhbaatar,50.23,4.47,89,56,4.14
ranong,9.96,80.07,100,44,4.59
lovozero,68.01,31.74,85,68,15.77
sao jose da coroa grande,-8.9,78.76,87,92,10.51
umba,66.69,38.58,86,8,22.7
epe,52.18,35.6,74,0,5.82
ust-ilimsk,57.96,-3.01,73,44,2.46
yar-sale,66.83,15.31,98,92,18.68
shache,38.42,22.83,75,76,2.68
husavik,50.56,14.82,87,0,18.01
hermanus,-34.42,56.44,76,24,6.38
iralaya,15.0,78.8,88,75,16.11
lamu,0.57,71.11,100,0,3.13
vostok,46.45,2.58,63,44,2.13
williams lake,52.13,24.8,79,75,10.29
boyolangu,-8.09,70.3,95,12,3.13
kalmunai,7.42,71.11,100,8,3.02
nemuro,43.32,42.18,100,24,13.65
port macquarie,-31.43,60.8,100,75,4.7
aksarayskiy,46.79,32.0,72,75,8.95
sumter,33.92,62.47,42,1,4.7
lalmohan,22.34,73.72,92,0,5.14
shu,43.6,-4.99,39,8,3.02
yellowknife,62.45,-5.81,76,75,6.93
fortuna,38.18,61.7,82,40,1.12
myaundzha,63.05,-19.03,49,56,2.24
laguna,27.52,80.6,12,5,3.36
bonavista,48.65,36.78,100,92,30.76
torbay,47.66,33.8,100,90,34.45
chamrajnagar,11.92,64.27,96,32,2.57
emet,39.34,33.76,100,92,2.57
tiznit,29.7,62.25,74,68,8.61
san policarpo,12.18,75.61,100,80,2.13
saint anthony,43.97,32.04,58,1,6.38
east london,-33.02,66.39,100,92,9.95
luis correia,-2.88,87.8,52,0,18.34
manono,-7.3,71.56,94,64,3.02
saint-pierre,48.95,42.21,70,0,2.24
henties bay,-22.12,62.34,93,0,5.26
boyuibe,-20.43,93.2,56,20,11.41
algiers,29.94,65.34,35,1,3.36
yura,-16.25,71.6,19,0,12.75
ha tinh,18.33,79.53,100,68,7.83
san quintin,17.54,69.9,82,44,3.36
saint-philippe,45.36,34.45,74,90,13.87
faya,18.39,59.94,82,0,3.36
bredasdorp,-34.53,62.6,55,0,3.36
buala,-8.15,80.88,96,92,3.91
dikson,73.51,8.65,100,76,8.39
bondoukou,8.04,75.93,79,24,10.96
sola,62.78,41.0,75,90,16.11
beringovskiy,63.05,25.53,100,76,24.83
eureka,40.8,51.28,89,40,3.36
moree,-29.46,70.12,59,24,12.19
mount gambier,-37.83,51.76,81,0,4.92
teguise,29.06,68.0,77,20,10.29
kailua,21.39,76.6,76,75,14.99
camacha,33.08,60.03,82,20,24.16
krasnyy chikoy,50.36,-5.21,74,56,1.12
nome,30.04,70.95,49,1,13.87
asmar,35.03,39.12,50,12,2.13
yelizovo,53.19,26.6,100,90,2.24
verkhnevilyuysk,63.45,-13.99,64,0,5.7
mongu,-15.27,77.73,43,68,4.03
beloha,-25.17,70.8,69,0,8.72
